2025-09-06 22:52:48 | Ogretm4 | NURSE | None
2025-09-06 22:52:54 | Ogretm4 | NURSE | None
2025-09-06 22:53:30 | Ogretm4 | NURSE | packs/NURSE/31_Nurse_Medicaments.py
2025-09-06 22:53:38 | Ogretm4 | NURSE | packs/NURSE/31_Nurse_Medicaments.py
2025-09-06 22:53:54 | Ogretm4 | NURSE | packs/NURSE/32_Nurse_Patients.py
2025-09-06 22:53:56 | Ogretm4 | NURSE | packs/NURSE/NURSE___init__.py
2025-09-06 22:54:26 | Ogretm | STUDENT | None
2025-09-06 22:56:15 | Ogretm | STUDENT | None
2025-09-06 22:56:36 | Ogretm | STUDENT | packs/STUDENT/41_Cours_Suivis.py
2025-09-06 22:56:45 | Ogretm | STUDENT | packs/STUDENT/42_Student_Evaluations.py
2025-09-06 22:56:49 | Ogretm | STUDENT | packs/STUDENT/42_Student_Evaluations.py
2025-09-06 22:56:55 | Ogretm | STUDENT | packs/STUDENT/43_Student_Practice.py
2025-09-06 22:57:45 | Ogretm | STUDENT | packs/STUDENT/44_Suivi.py
2025-09-06 22:57:45 | Ogretm | STUDENT | packs/STUDENT/44_Suivi.py
2025-09-06 22:58:35 | Ogretm | STUDENT | packs/STUDENT/44_Suivi.py
2025-09-06 23:12:50 | Ogretm | STUDENT | packs/STUDENT/__init__.py
2025-09-06 23:15:31 | Ogretm4 | DOCTORAL | None
2025-09-06 23:15:38 | Ogretm4 | DOCTORAL | None
2025-09-06 23:15:43 | Ogretm4 | DOCTORAL | packs/DOCTORAL/14_Doctoral_Research.py
2025-09-06 23:15:44 | Ogretm4 | DOCTORAL | packs/DOCTORAL/15_Publications.py
2025-09-06 23:15:46 | Ogretm4 | DOCTORAL | packs/DOCTORAL/16_Suivi_These.py
2025-09-06 23:15:48 | Ogretm4 | DOCTORAL | packs/DOCTORAL/17_These.py
2025-09-06 23:15:49 | Ogretm4 | DOCTORAL | packs/DOCTORAL/DOCTORAL___init__.py
2025-09-06 23:15:50 | Ogretm4 | DOCTORAL | packs/DOCTORAL/DOCTORAL___init__.py
2025-09-06 23:15:51 | Ogretm4 | DOCTORAL | packs/DOCTORAL/17_These.py
2025-09-06 23:16:54 | Ogretm4 | DOCTORAL | packs/DOCTORAL/DOCTORAL___init__.py
2025-09-06 23:16:56 | Ogretm4 | DOCTORAL | packs/DOCTORAL/14_Doctoral_Research.py
2025-09-07 02:36:41 | Admin | MIDWIFE | None
2025-09-07 02:36:54 | Admin | MIDWIFE | None
2025-09-07 02:37:08 | Admin | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-07 02:37:28 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-07 02:37:42 | Admin | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-07 02:37:51 | Admin | MIDWIFE | packs/MIDWIFE/29_PostNatalCare.py
2025-09-07 02:38:11 | Admin | MIDWIFE | packs/MIDWIFE/30_ThroughoutCare.py
2025-09-07 02:38:19 | Admin | MIDWIFE | packs/MIDWIFE/MIDWIFE___init__.py
2025-09-07 02:39:06 | Admin | MIDWIFE | packs/MESSAGES/22_Chat.py
2025-09-07 02:39:23 | Admin | MIDWIFE | packs/MESSAGES/22_Chat.py
2025-09-07 02:39:42 | Admin | MIDWIFE | packs/MESSAGES/22_Chat.py
2025-09-07 02:39:56 | Admin | MIDWIFE | packs/MESSAGES/25_Send_message.py
2025-09-07 02:40:33 | Admin | MIDWIFE | packs/MESSAGES/24_Receive_message.py
2025-09-07 02:40:48 | Admin | MIDWIFE | packs/MESSAGES/23_Inbox.py
2025-09-07 02:40:50 | Admin | MIDWIFE | packs/MESSAGES/23_Inbox.py
2025-09-07 02:40:52 | Admin | MIDWIFE | packs/MESSAGES/24_Receive_message.py
2025-09-07 02:40:55 | Admin | MIDWIFE | packs/MESSAGES/23_Inbox.py
2025-09-07 02:43:40 | Admin | MIDWIFE | packs/MESSAGES/MESSAGES___init__.py
2025-09-07 02:43:42 | Admin | MIDWIFE | packs/MESSAGES/MESSAGES___init__.py
2025-09-07 02:43:47 | Admin | MIDWIFE | packs/MESSAGES/22_Chat.py
2025-09-07 02:47:37 | Admin | MIDWIFE | packs/MESSAGES/22_Chat.py
2025-09-07 02:47:42 | Admin | MIDWIFE | packs/MESSAGES/22_Chat.py
2025-09-07 02:48:13 | Admin | ADMIN | None
2025-09-07 02:48:38 | Admin | ADMIN | None
2025-09-07 02:48:42 | Admin | ADMIN | packs/ADMIN/LOGS/Logs.py
2025-09-07 03:25:33 | Admin | ADMIN | None
2025-09-07 03:25:49 | Admin | ADMIN | None
2025-09-07 03:35:12 | Admin | ADMIN | packs/PROFILE/profile.py
2025-09-07 03:35:18 | Admin | ADMIN | packs/PROFILE/profile.py
2025-09-07 03:35:29 | Ogretm | MIDWIFE | None
2025-09-07 03:39:52 | Ogretm | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 03:44:08 | Ogretm | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 03:52:32 | Ogretm | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 03:58:38 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 04:05:27 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 04:06:16 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 04:15:39 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 04:33:50 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 04:38:47 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 04:50:59 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 04:51:43 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 04:52:11 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 04:52:24 | Brigitte lahaie | DOCTOR | packs/DOCTOR/welcome.py
2025-09-07 05:15:56 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 05:18:12 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 05:26:41 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 05:31:41 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 05:34:12 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 05:35:38 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 05:36:24 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 05:39:42 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 06:31:06 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 06:32:58 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 06:33:39 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 06:43:55 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 06:47:01 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 06:54:06 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 06:59:32 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:01:10 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:06:06 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:06:17 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:10:21 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:11:08 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:20:21 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:22:47 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:23:30 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:23:59 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
2025-09-07 07:24:06 | Ogretm4 | MIDWIFE | packs/MIDWIFE/welcome.py
